Kind,Name,AvgCountLine,AvgCountLineBlank,AvgCountLineCode,AvgCountLineComment,AvgCyclomatic,CCViolDensityCode,CCViolDensityLine,CountCCViol,CountCCViolType,CountClassBase,CountClassCoupled,CountClassCoupledModified,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethod,CountDeclMethodAll,CountDeclMethodDefault,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountOutput,CountSemicolon,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,MaxCyclomatic,MaxInheritanceTree,MaxNesting,PercentLackOfCohesion,PercentLackOfCohesionModified,RatioCommentToCode,SumCyclomatic
File,"AutoValue_Schema_Field.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,14,,14,14,8,14,,2,1,0,11,,137,15,122,44,54,0,,44,69,28,42,,6,,2,,,0.00,23
File,"AutoValue_Schema_FieldType.java",0,0,0,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,8,1,,0,1,0,0,,46,12,34,33,0,0,,20,13,13,0,,1,,0,,,0.00,1
File,"AutoValue_SpannerIO_CreateTransaction.java",6,0,6,0,2,0.00,0.00,0,0,,,,,2,0,0,11,,11,11,4,11,,5,1,0,5,,93,12,81,35,32,0,,33,50,24,26,,4,,1,,,0.00,17
File,"AutoValue_SpannerIO_Read.java",10,0,10,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,9,1,,0,1,0,0,,54,13,41,40,0,0,,26,18,18,0,,1,,0,,,0.00,1
File,"AutoValue_SpannerIO_ReadAll.java",7,0,7,0,2,0.00,0.00,0,0,,,,,2,0,0,15,,15,15,8,15,,12,1,0,2,,144,16,128,50,57,0,,55,79,33,47,,5,,2,,,0.00,26
File,"AutoValue_SpannerIO_ReadChangeStream.java",10,0,10,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,9,1,,0,1,0,0,,51,13,38,37,0,0,,23,15,15,0,,1,,0,,,0.00,1
File,"AutoValue_SpannerIO_Write.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,23,,23,23,17,23,,20,1,0,2,,241,24,217,81,105,0,,101,136,52,86,,7,,2,,,0.00,37
File,"AutoValue_TextIO_Read.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,19,,19,19,13,19,,16,1,0,2,,196,20,176,66,83,0,,79,109,42,68,,6,,2,,,0.00,32
File,"AutoValue_TextIO_ReadAll.java",8,0,8,0,2,0.00,0.00,0,0,,,,,2,0,0,15,,15,15,9,15,,12,1,0,2,,151,16,135,51,62,0,,58,83,33,51,,5,,2,,,0.00,24
File,"AutoValue_TextIO_ReadFiles.java",7,0,7,0,1,0.00,0.00,0,0,,,,,2,0,0,13,,13,13,7,13,,10,1,0,2,,121,14,107,44,46,0,,47,67,29,39,,4,,2,,,0.00,19
File,"AutoValue_TextIO_Sink.java",6,0,6,0,2,0.00,0.00,0,0,,,,,2,0,0,12,,12,12,4,12,,8,1,0,3,,93,13,80,35,31,0,,30,46,23,23,,5,,1,,,0.00,18
File,"AutoValue_TextIO_TypedWrite.java",23,0,23,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,22,1,,0,1,0,0,,108,26,82,81,0,0,,54,33,33,0,,1,,0,,,0.00,1
File,"AutoValue_Window.java",8,0,8,0,1,0.00,0.00,0,0,,,,,1,0,0,1,,1,1,7,1,,0,1,0,0,,43,11,32,31,0,0,,19,13,13,0,,1,,0,,,0.00,1
File,"AvroIO.java",12,0,7,5,1,0.00,0.00,0,0,,,,,3,21,1,33,,50,29,3,50,,17,3,0,30,,834,59,335,162,142,441,,128,161,124,41,,4,,1,,,1.32,36
File,"AvroIOTest.java",7,0,6,0,1,0.00,0.00,0,0,,,,,2,0,0,5,,5,5,0,5,,0,0,0,5,,173,9,145,128,14,20,,115,122,116,10,,1,,0,,,0.14,5
File,"BigtableIO.java",13,0,9,4,2,0.00,0.00,0,0,,,,,13,13,5,147,,189,175,35,188,,55,19,3,111,,2591,267,1466,583,778,860,,625,871,463,523,,14,,4,,,0.59,229
File,"BigtableIOTest.java",14,1,12,1,1,0.00,0.00,0,0,,,,,16,8,14,109,,124,112,20,120,,21,13,0,86,,1923,293,1468,676,903,193,,704,864,529,498,,4,,2,,,0.13,139
File,"Coder.java",9,0,5,4,1,0.00,0.00,0,0,,,,,4,2,2,21,,25,23,3,25,,0,0,1,24,,350,31,141,65,50,178,,60,91,54,41,,3,,2,,,1.26,28
File,"CoderTest.java",9,1,8,0,1,0.00,0.00,0,0,,,,,1,0,0,6,,6,6,1,6,,0,0,0,6,,99,12,67,42,24,20,,40,47,30,22,,1,,0,,,0.30,6
File,"Context.java",0,0,0,0,0,0.00,0.00,0,0,,,,,1,0,0,0,,0,0,0,0,,0,0,0,0,,29,2,5,5,0,22,,2,3,3,0,,0,,0,,,4.40,0
File,"DataflowRunner.java",18,1,16,1,2,0.00,0.00,0,0,,,,,34,22,12,122,,125,96,26,118,,27,20,7,64,,2630,269,2098,669,1262,271,,746,1067,506,675,,47,,4,,,0.13,294
File,"DataflowRunnerTest.java",16,1,14,0,1,0.00,0.00,0,0,,,,,23,5,7,117,,123,102,11,107,,7,11,1,88,,2043,228,1746,673,1150,91,,815,974,543,632,,5,,3,,,0.05,152
Unknown Annotation,"Default.String",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
Unknown Annotation,"Deprecated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
File,"DirectRunner.java",13,0,10,2,2,0.00,0.00,0,0,,,,,6,4,2,22,,21,19,8,23,,5,5,0,13,,401,34,294,117,155,79,,123,163,87,95,,7,,4,,,0.27,39
File,"DirectRunnerTest.java",11,1,10,1,1,0.00,0.00,0,0,,,,,29,2,3,80,,84,79,9,81,,13,4,0,64,,909,115,726,279,420,69,,333,427,252,239,,3,,2,,,0.10,90
Unknown Annotation,"Element",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
File,"ErrorHandlingTestUtils.java",8,0,8,0,2,0.00,0.00,0,0,,,,,3,0,0,2,,2,2,0,2,,0,0,0,2,,57,5,35,22,7,17,,15,21,17,4,,2,,1,,,0.49,3
File,"ExpectedLogs.java",7,0,5,2,1,0.00,0.00,0,0,,,,,5,7,1,37,,37,30,4,37,,0,6,5,26,,320,39,173,61,72,108,,62,108,62,48,,3,,2,,,0.62,42
File,"FakeServiceFactory.java",6,0,6,0,1,0.00,0.00,0,0,,,,,1,0,7,7,,7,7,1,7,,5,0,0,2,,118,18,78,40,31,22,,41,55,33,28,,1,,0,,,0.28,7
File,"FileIO.java",10,0,8,2,1,0.00,0.00,0,0,,,,,27,11,1,106,,174,161,10,172,,71,7,2,92,,1627,186,941,367,438,506,,376,533,289,261,,9,,2,,,0.54,140
File,"FileIOTest.java",17,1,16,0,1,0.00,0.00,0,0,,,,,2,4,0,19,,19,10,7,14,,0,4,0,10,,412,39,352,140,220,28,,163,188,112,99,,3,,2,,,0.08,25
File,"FileSystems.java",18,0,12,6,2,0.00,0.00,0,0,,,,,4,25,5,29,,29,2,3,27,,3,6,0,18,,624,45,397,160,219,185,,162,228,126,143,,9,,2,,,0.47,65
File,"FileSystemsTest.java",14,1,12,1,1,0.00,0.00,0,0,,,,,1,1,0,15,,15,13,3,14,,0,3,0,11,,285,38,227,99,141,36,,122,142,86,88,,2,,1,,,0.16,18
Unknown Annotation,"FinishBundle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,
File,"Flatten.java",14,0,9,4,2,0.00,0.00,0,0,,,,,4,2,0,7,,7,5,0,7,,0,2,0,5,,168,12,76,26,41,80,,24,40,24,19,,6,,3,,,1.05,13
